run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,caching,est_cost_usd,cost_estimated,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
react-public-content_cu-openai_e260e972-d80f-4936-b3fb-046a0d34a314,react-public-content,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3215,true,,16.466,2.303,3.483,10.680,2,3,3027,119,0,provider-managed,0.018705,,0,0,false,default,none,none,,2026-08-17-sol-full 300s timeout replacement,2026-08-17T18:58:24.489Z
md-2_cu-openai_4897028c-f0e9-404d-8853-960a185c7ff0,md-2,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3215,true,,381.247,34.027,5.077,342.144,8,20,25392,606,5678,provider-managed,0.147979,,1,2000,false,default,none,none,,2026-08-17-sol-full 300s timeout replacement,2026-08-17T19:09:12.139Z
md-4_cu-openai_1ab67c4b-e6fc-489a-8a5c-0b9d7b62b665,md-4,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3215,true,,61.915,33.770,4.545,23.600,5,12,10283,203,5554,provider-managed,0.060282,,0,0,false,default,none,none,,2026-08-17-sol-full 300s timeout replacement,2026-08-17T19:10:14.117Z
md-4_cu-openai_8e6ebf01-92e3-4465-98a2-17bf24ee6487,md-4,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3215,true,,61.461,33.698,4.002,23.761,5,12,10341,232,5632,provider-managed,0.061481,,0,0,false,default,none,none,,2026-08-17-sol-full 300s timeout replacement,2026-08-17T19:11:15.639Z
md-8_cu-openai_779c9bd0-bade-4c44-9960-94a9749d8873,md-8,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3215,true,,150.358,33.084,4.489,112.785,20,78,92419,1309,5652,provider-managed,0.504191,,0,0,false,default,none,none,,2026-08-17-sol-full 300s timeout replacement,2026-08-17T19:13:46.361Z
ea-2_cu-openai_eaeb8456-f0b4-418f-afa9-fadb2222012c,ea-2,cu-openai,gpt-5.6-sol,computer,easyappointments,http://127.0.0.1:3215,true,,56.656,30.549,2.620,23.487,6,12,15068,253,5568,provider-managed,0.085714,,0,0,false,default,none,none,,2026-08-17-sol-full 300s timeout replacement,2026-08-17T19:15:39.328Z
ea-5_cu-openai_f1f77760-c5a7-4a0c-97d6-fd6af1859216,ea-5,cu-openai,gpt-5.6-sol,computer,easyappointments,http://127.0.0.1:3215,false,harness-agent: attempt timeout: 600s agent budget,647.320,31.353,3.285,612.682,1,2,908,33,0,provider-managed,0.00553,,2,6000,false,default,none,none,,2026-08-17-sol-full 300s timeout replacement,2026-08-17T19:26:26.705Z
ea-6_cu-openai_ecd723a6-881b-4757-9108-2b7ac6602983,ea-6,cu-openai,gpt-5.6-sol,computer,easyappointments,http://127.0.0.1:3215,false,harness-agent: attempt timeout: 600s agent budget,961.018,30.561,3.523,926.934,1,2,923,74,0,provider-managed,0.006835,,3,14000,false,default,none,none,,2026-08-17-sol-full 300s timeout replacement,2026-08-17T19:42:27.809Z
ea-7_cu-openai_ab8ca1cd-3d3d-4246-a5f5-9d13367494f5,ea-7,cu-openai,gpt-5.6-sol,computer,easyappointments,http://127.0.0.1:3215,true,,346.396,29.559,2.652,314.185,34,121,205933,3697,5600,provider-managed,1.143375,,0,0,false,default,none,none,,2026-08-17-sol-full 300s timeout replacement,2026-08-17T19:48:14.549Z
lh-1_cu-openai_68872ff7-9311-4920-8e07-d6a6d96f7dab,lh-1,cu-openai,gpt-5.6-sol,computer,learnhouse,http://127.0.0.1:3215,true,,35.296,23.166,3.113,9.017,2,3,3035,172,0,provider-managed,0.020335,,0,0,false,default,none,none,,2026-08-17-sol-full 300s timeout replacement,2026-08-17T19:50:04.831Z
