run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,caching,est_cost_usd,cost_estimated,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
blog-find-post_cu-openai_fc204262-6e31-498c-856d-3c43565e706e,blog-find-post,cu-openai,gpt-5.6-sol,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,40.686,12.521,3.373,24.793,4,7,5898,852,5589,provider-managed,0.0578445,,0,0,false,default,none,none,,,2026-08-16T22:27:11.461Z
blog-find-post_cu-openai_91ef52c8-6901-4743-a605-43ea9ebe658e,blog-find-post,cu-openai,gpt-5.6-sol,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,36.439,12.626,3.288,20.525,3,6,4349,554,2170,provider-managed,0.03945,,0,0,false,default,none,none,,,2026-08-16T22:27:47.956Z
blog-find-post_cu-openai_420bf890-e518-41e3-878e-57e7897cfa74,blog-find-post,cu-openai,gpt-5.6-sol,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,47.155,12.563,3.246,31.346,4,9,5825,924,5820,provider-managed,0.059755,,0,0,false,default,none,none,,,2026-08-16T22:28:35.173Z
blog-read-author_cu-openai_7ee40d9c-dbc1-4737-afc0-df359da7c7db,blog-read-author,cu-openai,gpt-5.6-sol,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,28.002,12.504,3.290,12.208,3,6,4358,186,2201,provider-managed,0.0284705,,0,0,false,default,none,none,,,2026-08-16T22:29:03.233Z
blog-read-author_cu-openai_f47c3452-3790-466a-9dd9-e148ab8d792f,blog-read-author,cu-openai,gpt-5.6-sol,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,36.186,12.563,3.287,20.337,3,6,4372,218,2214,provider-managed,0.029507,,0,0,false,default,none,none,,,2026-08-16T22:29:39.480Z
blog-read-author_cu-openai_8fbaf593-0861-487b-a2c0-f95b09734517,blog-read-author,cu-openai,gpt-5.6-sol,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,28.071,14.255,2.953,10.864,3,6,4283,99,2123,provider-managed,0.0254465,,0,0,false,default,none,none,,,2026-08-16T22:30:07.606Z
react-public-content_cu-openai_04faa754-8b8c-4e90-8e27-999eda485c28,react-public-content,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3216,false,harness-agent: attempt timeout: 300s agent budget,2.858,2.858,0.000,0.000,0,0,0,0,0,unsupported,0,,0,0,false,default,none,none,,,2026-08-16T22:35:38.674Z
react-public-content_cu-openai_302385f1-a1a3-4a30-8d08-267c898ec92d,react-public-content,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3216,true,,12.207,2.141,4.144,5.922,2,3,3053,97,0,provider-managed,0.018175,,0,0,false,default,none,none,,,2026-08-16T22:35:50.931Z
react-public-content_cu-openai_d60ec681-43c8-467a-bb45-d8dfcd94fb04,react-public-content,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3216,true,,13.543,2.157,3.751,7.635,2,3,3063,134,0,provider-managed,0.019335,,0,0,false,default,none,none,,,2026-08-16T22:36:04.549Z
react-auth-boundary_cu-openai_da8a4e03-391f-4cdf-8fed-6faf3c8d7521,react-auth-boundary,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3216,true,,23.525,2.096,3.791,17.638,4,8,5736,439,5570,provider-managed,0.044635,,0,0,false,default,none,none,,,2026-08-16T22:36:28.130Z
react-auth-boundary_cu-openai_d1e26574-7eb7-4081-b0ca-fd18a584f2c4,react-auth-boundary,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3216,true,,27.829,2.173,4.027,21.630,4,8,5698,537,5556,provider-managed,0.047378,,0,0,false,default,none,none,,,2026-08-16T22:36:56.016Z
react-auth-boundary_cu-openai_3bdaba27-446f-404e-9b80-2bd1b24e7a4a,react-auth-boundary,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3216,true,,19.861,2.252,3.515,14.094,3,6,4316,326,2139,provider-managed,0.0324295,,0,0,false,default,none,none,,,2026-08-16T22:37:15.939Z
directory-search_cu-openai_2bde0a13-a622-4c77-8363-3d9c180469be,directory-search,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,34.203,10.873,3.280,20.049,5,10,10571,393,5728,provider-managed,0.067509,,0,0,false,default,none,none,,,2026-08-16T22:38:14.729Z
directory-search_cu-openai_fef25ad4-e45f-434c-8bb4-c1e3a11cd7b8,directory-search,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,false,"harness-agent: OpenAI 400: {
  ""error"": {
    ""message"": ""Invalid prompt: your prompt was flagged as potentially violating our usage policy. Please try again with a different prompt: https://platform.openai.com/docs/guides/reasoning#advice-on-prompting"",
    ""type"": ""invalid_request_error"",
    ""param"": null,
    ""code"": ""inv",11.905,11.905,0.000,0.000,0,0,0,0,0,unsupported,0,,0,0,false,default,none,none,,,2026-08-16T22:38:36.852Z
directory-search_cu-openai_3cfff174-d5ce-4929-92d3-45f1785d759a,directory-search,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,27.013,9.993,3.067,13.953,4,8,5664,275,5636,provider-managed,0.039388,,0,0,false,default,none,none,,,2026-08-16T22:39:03.925Z
directory-filter_cu-openai_04fdaf34-90be-4ca2-b790-e831c8aa1c0f,directory-filter,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,false,"answer predicate failed: {""type"":""answer"",""contains"":[""github""]}",24.050,10.618,3.082,10.350,3,6,4305,126,2130,provider-managed,0.02637,,0,0,false,default,none,none,,,2026-08-16T22:39:28.030Z
directory-filter_cu-openai_c1a7021a-3f70-4a27-ab9b-aa22e27b96cb,directory-filter,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,false,"answer predicate failed: {""type"":""answer"",""contains"":[""github""]}",23.110,8.345,3.160,11.605,3,6,4305,134,2133,provider-managed,0.0266115,,0,0,false,default,none,none,,,2026-08-16T22:39:51.205Z
directory-filter_cu-openai_3d1c633b-756f-4d3c-9a35-43fa7fccca2e,directory-filter,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,false,"answer predicate failed: {""type"":""answer"",""contains"":[""github""]}",22.484,8.587,3.087,10.810,3,6,4320,154,2151,provider-managed,0.0272955,,0,0,false,default,none,none,,,2026-08-16T22:40:13.743Z
directory-detail_cu-openai_a3aac4ee-3d39-4685-a832-5b7400bea0be,directory-detail,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,37.398,8.544,3.119,25.736,6,14,15169,338,5545,provider-managed,0.0887575,,0,0,false,default,none,none,,,2026-08-16T22:40:51.213Z
directory-detail_cu-openai_59d5018e-ed70-4d3d-a661-cd03435a7039,directory-detail,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,24.640,8.818,3.060,12.762,4,9,5570,178,5541,provider-managed,0.0359605,,0,0,false,default,none,none,,,2026-08-16T22:41:15.911Z
directory-detail_cu-openai_1d14c176-50ff-453f-90a6-35eec689f54b,directory-detail,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,42.107,8.331,3.061,30.715,6,14,15207,331,5587,provider-managed,0.0887585,,0,0,false,default,none,none,,,2026-08-16T22:41:58.076Z
md-1_cu-openai_a20f65bb-f7e1-4526-9022-0fba6f4109fa,md-1,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,47.533,25.917,3.690,17.925,5,11,10277,273,5548,provider-managed,0.062349,,0,0,false,default,none,none,,,2026-08-16T22:46:27.778Z
md-1_cu-openai_9498c6c9-40b8-40a9-9e58-88d3b1d5dd2c,md-1,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,50.194,25.854,3.722,20.618,5,11,10259,286,5532,provider-managed,0.062641,,0,0,false,default,none,none,,,2026-08-16T22:47:18.026Z
md-1_cu-openai_792b1f99-86a5-41a3-a184-5bff96f50f9e,md-1,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,50.947,25.828,3.708,21.410,5,11,10499,373,5713,provider-managed,0.0665415,,0,0,false,default,none,none,,,2026-08-16T22:48:09.028Z
md-2_cu-openai_7340d5e3-8cc3-4bac-8bf6-713b8caff499,md-2,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,62.460,25.778,3.758,32.924,8,18,25094,586,5562,provider-managed,0.145831,,0,0,false,default,none,none,,,2026-08-16T22:49:11.546Z
md-2_cu-openai_96858b41-6068-4ecc-99f9-5896b692095d,md-2,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,64.610,25.856,3.727,35.027,8,19,24846,516,5533,provider-managed,0.1424765,,0,0,false,default,none,none,,,2026-08-16T22:50:16.209Z
md-2_cu-openai_e2dcee2b-c5d1-45d6-9610-3d3ba22eb46d,md-2,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,false,harness-agent: attempt timeout: 300s agent budget,25.869,25.869,0.000,0.000,0,0,0,0,0,unsupported,0,,0,0,false,default,none,none,,,2026-08-16T23:00:58.651Z
md-3_cu-openai_8d7b0eee-156f-4b87-889a-a2fc7bee3758,md-3,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,64.299,25.679,3.679,34.940,8,17,24830,437,5567,provider-managed,0.1400435,,0,0,false,default,none,none,,,2026-08-16T23:02:03.013Z
md-3_cu-openai_978cd9a3-4b76-4c4d-9306-33e19a5fdfbe,md-3,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,80.183,26.030,3.726,50.428,10,28,35421,656,5567,provider-managed,0.1995685,,0,0,false,default,none,none,,,2026-08-16T23:03:23.250Z
md-3_cu-openai_40a0c12d-4963-4c2f-a620-66d58e1cffae,md-3,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,68.922,25.869,3.850,39.202,9,23,29956,514,5515,provider-managed,0.1679575,,0,0,false,default,none,none,,,2026-08-16T23:04:32.236Z
md-9_cu-openai_fa477104-89a9-47c2-8921-25518662ad83,md-9,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,54.967,26.116,3.731,25.120,5,12,10329,298,5546,provider-managed,0.063358,,0,0,false,default,none,none,,,2026-08-16T23:05:27.261Z
md-9_cu-openai_669d32ca-3bd7-4a96-acae-dea0605acd30,md-9,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,49.278,25.856,3.698,19.724,5,12,10481,376,5702,provider-managed,0.066536,,0,0,false,default,none,none,,,2026-08-16T23:06:16.596Z
md-9_cu-openai_782653d3-f7b4-4732-a840-132aafd32ee4,md-9,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,47.754,25.841,3.715,18.198,5,11,10309,312,5578,provider-managed,0.063694,,0,0,false,default,none,none,,,2026-08-16T23:07:04.415Z
md-4_cu-openai_7ef533a1-7c70-43fb-9602-9753aae4dba0,md-4,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,49.840,26.100,3.710,20.030,5,12,10255,190,5540,provider-managed,0.059745,,0,0,false,default,none,none,,,2026-08-16T23:07:54.307Z
md-4_cu-openai_eb69937c-b7a0-42be-9994-a868b1f2c6a6,md-4,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,false,harness-agent: attempt timeout: 300s agent budget,25.861,25.861,0.000,0.000,0,0,0,0,0,unsupported,0,,0,0,false,default,none,none,,,2026-08-16T23:13:30.024Z
md-4_cu-openai_9cd2e3ce-4847-4b4f-a5a6-29386a90d971,md-4,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,false,harness-agent: attempt timeout: 300s agent budget,25.853,25.853,0.000,0.000,0,0,0,0,0,unsupported,0,,0,0,false,default,none,none,,,2026-08-16T23:19:06.544Z
md-6_cu-openai_8a210442-595b-4d97-b22e-ea1d7d7be2f9,md-6,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,40.337,25.620,3.703,11.014,3,6,4334,167,2149,provider-managed,0.0277545,,0,0,false,default,none,none,,,2026-08-16T23:19:46.999Z
md-6_cu-openai_126943fb-31cd-4c53-991a-a3bedfba64b1,md-6,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,42.425,26.321,3.711,12.393,3,6,4360,133,2146,provider-managed,0.026863,,0,0,false,default,none,none,,,2026-08-16T23:20:29.479Z
md-6_cu-openai_daaa10f7-a2e9-4fcc-b7d3-113874be3b6d,md-6,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,39.690,25.861,3.754,10.075,3,6,4320,148,2144,provider-managed,0.027112,,0,0,false,default,none,none,,,2026-08-16T23:21:09.227Z
md-5_cu-openai_6471750f-4a7a-4731-8cfa-5b374299a15f,md-5,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,60.491,25.721,3.724,31.045,7,19,19936,323,5533,provider-managed,0.1121365,,0,0,false,default,none,none,,,2026-08-16T23:22:10.044Z
