run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,caching,est_cost_usd,cost_estimated,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
blog-find-post_wm-stagehand-v4-gemini_d49129d5-d4f1-49f7-a805-582d5de0ca44,blog-find-post,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,32.014,9.339,1.512,21.164,9,18,27421,1130,0,provider-managed,0.02480325,,0,0,false,default,none,none,,,2026-08-18T10:36:00.670Z
blog-find-post_wm-stagehand-v4-gemini_0329dd72-1e50-4f0b-ae02-a4a3177af0b3,blog-find-post,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,26.395,9.500,0.871,16.023,6,12,12067,1076,0,provider-managed,0.01308525,,0,0,false,default,none,none,,,2026-08-18T10:36:27.107Z
blog-find-post_wm-stagehand-v4-gemini_b686cfcf-e065-4e36-b7fd-a56b2131c56c,blog-find-post,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,21.096,9.197,0.845,11.053,5,10,8379,673,0,provider-managed,0.008808,,0,0,false,default,none,none,,,2026-08-18T10:36:48.232Z
blog-read-author_wm-stagehand-v4-gemini_679a6d99-dab1-4b4e-808f-3eb9f429cac2,blog-read-author,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,23.471,9.229,0.853,13.389,4,8,5060,440,0,provider-managed,0.005445,,0,0,false,default,none,none,,,2026-08-18T10:37:11.745Z
blog-read-author_wm-stagehand-v4-gemini_31efbd87-32ff-47b8-99e7-6886f1d8b4dd,blog-read-author,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,15.748,9.161,0.882,5.706,3,6,2344,242,0,provider-managed,0.0026655,,0,0,false,default,none,none,,,2026-08-18T10:37:27.521Z
blog-read-author_wm-stagehand-v4-gemini_c2a759d7-2145-4044-9e4f-1fb8c574981b,blog-read-author,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,18.336,9.180,0.823,8.333,4,8,4056,401,0,provider-managed,0.00454575,,0,0,false,default,none,none,,,2026-08-18T10:37:45.900Z
react-public-content_wm-stagehand-v4-gemini_3f96bb1a-c3f7-4e68-9e1e-87adfe25283a,react-public-content,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,bulletproof-react,http://127.0.0.1:3216,true,,15.368,1.853,1.293,12.222,5,10,5758,558,0,provider-managed,0.006411,,0,0,false,default,none,none,,,2026-08-18T10:39:18.555Z
react-public-content_wm-stagehand-v4-gemini_d9fe1874-ee2e-484a-9cdf-eaa19f1c51f5,react-public-content,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,bulletproof-react,http://127.0.0.1:3216,true,,21.294,1.776,0.703,18.816,6,12,7093,616,0,provider-managed,0.00762975,,0,0,false,default,none,none,,,2026-08-18T10:39:39.888Z
react-public-content_wm-stagehand-v4-gemini_46b95c6d-d2da-421d-87ef-a58960d88b39,react-public-content,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,bulletproof-react,http://127.0.0.1:3216,true,,22.687,1.834,0.697,20.156,7,14,9234,691,0,provider-managed,0.00951675,,0,0,false,default,none,none,,,2026-08-18T10:40:02.615Z
react-auth-boundary_wm-stagehand-v4-gemini_87020ef9-50eb-4295-a51a-6d9e7b95660f,react-auth-boundary,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,bulletproof-react,http://127.0.0.1:3216,true,,10.621,1.766,0.697,8.157,3,6,2265,534,0,provider-managed,0.00370125,,0,0,false,default,none,none,,,2026-08-18T10:40:13.266Z
