run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,cache_write_tokens,caching,est_cost_usd,cost_estimated,snapshot_source,stop_reason,refusal,truncated,effort,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
blog-find-post_a11y-stagehand_738ea467-2362-4f1a-83c8-1a05524e4dde,blog-find-post,a11y-stagehand,gpt-5.6-luna,stagehand@3.6.0,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,33.652,9.946,2.496,21.210,6,6,26106,803,0,0,unsupported,0.030924,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T19:57:10.922Z
blog-find-post_a11y-stagehand_659ad7f9-efce-42c1-a3b0-2e84909b99b5,blog-find-post,a11y-stagehand,gpt-5.6-luna,stagehand@3.6.0,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,21.588,10.234,0.911,10.443,2,2,6479,507,0,0,unsupported,0.009521,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T19:57:32.555Z
blog-find-post_a11y-stagehand_d43e62c1-8071-4b02-85fd-79512d8c32da,blog-find-post,a11y-stagehand,gpt-5.6-luna,stagehand@3.6.0,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,15.702,9.946,0.809,4.947,2,2,6478,39,0,0,unsupported,0.006712,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T19:57:48.303Z
blog-read-author_a11y-stagehand_351be5e6-cefc-4c6b-a5d0-ebc2691fea74,blog-read-author,a11y-stagehand,gpt-5.6-luna,stagehand@3.6.0,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,17.243,10.038,2.573,4.633,2,2,5495,47,0,0,unsupported,0.005777,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T19:58:05.590Z
blog-read-author_a11y-stagehand_b5eec388-57d5-4d55-a862-a25ee03956f9,blog-read-author,a11y-stagehand,gpt-5.6-luna,stagehand@3.6.0,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,17.028,9.872,2.589,4.567,2,2,5497,49,0,0,unsupported,0.005791,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T19:58:22.661Z
blog-read-author_a11y-stagehand_c3804cef-e18c-45df-bfe9-5f5d3466325e,blog-read-author,a11y-stagehand,gpt-5.6-luna,stagehand@3.6.0,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,16.270,9.787,2.489,3.993,2,2,5496,44,0,0,unsupported,0.00576,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T19:58:38.975Z
react-public-content_a11y-stagehand_89a5bfe6-5894-499c-b221-f4c3204c3464,react-public-content,a11y-stagehand,gpt-5.6-luna,stagehand@3.6.0,bulletproof-react,http://127.0.0.1:3216,true,,7.458,1.905,0.766,4.787,2,2,4528,106,0,0,unsupported,0.005164,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T19:59:01.511Z
react-public-content_a11y-stagehand_7fe3cb0a-0bdf-4f01-92d6-e8221fe58900,react-public-content,a11y-stagehand,gpt-5.6-luna,stagehand@3.6.0,bulletproof-react,http://127.0.0.1:3216,true,,7.903,1.836,0.362,5.705,2,2,4528,120,0,0,unsupported,0.005248,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T19:59:09.443Z
react-public-content_a11y-stagehand_1d3c0f32-98fa-4351-a268-d5a54cf33425,react-public-content,a11y-stagehand,gpt-5.6-luna,stagehand@3.6.0,bulletproof-react,http://127.0.0.1:3216,true,,7.168,1.801,0.362,5.005,2,2,4529,81,0,0,unsupported,0.005015,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T19:59:16.653Z
react-auth-boundary_a11y-stagehand_79657ec1-268e-47a6-aed9-22bb2a321d28,react-auth-boundary,a11y-stagehand,gpt-5.6-luna,stagehand@3.6.0,bulletproof-react,http://127.0.0.1:3216,true,,14.082,1.897,0.453,11.731,4,4,9624,285,0,0,unsupported,0.011334,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T19:59:30.764Z
