run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,cache_write_tokens,caching,est_cost_usd,cost_estimated,snapshot_source,stop_reason,refusal,truncated,effort,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
blog-find-post_a11y-stagehand_e5fc53f6-ee14-402d-a811-4045c9fda0b2,blog-find-post,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,33.386,10.218,1.464,21.704,4,4,10153,672,0,0,unsupported,0.040539,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:44:18.306Z
blog-find-post_a11y-stagehand_8fec37a3-8627-4c15-ab78-5ca6539eeccb,blog-find-post,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,70.517,10.490,0.885,59.141,12,12,45119,1463,0,0,unsupported,0.157302,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:45:28.859Z
blog-find-post_a11y-stagehand_8bd12a61-94e4-4c5c-af83-4e5eedc21642,blog-find-post,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,22.720,10.803,0.828,11.090,2,2,2974,393,0,0,unsupported,0.014817,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:45:51.628Z
blog-read-author_a11y-stagehand_2f8ba320-b8d2-4372-b423-3e0490254536,blog-read-author,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,23.456,10.484,2.914,10.059,2,2,1739,77,0,0,unsupported,0.006372,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:46:15.131Z
blog-read-author_a11y-stagehand_89b0b717-0f03-4860-a763-d87d9b717b7e,blog-read-author,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,23.999,13.005,1.149,9.846,2,2,1739,76,0,0,unsupported,0.006357,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:46:39.159Z
blog-read-author_a11y-stagehand_3572fbb0-2496-4914-bf99-52c664d12363,blog-read-author,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,22.559,10.148,2.672,9.738,2,2,1739,79,0,0,unsupported,0.006402,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:47:01.761Z
react-public-content_a11y-stagehand_12485344-ce7b-4d95-87f7-9839099876c1,react-public-content,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,bulletproof-react,http://127.0.0.1:3216,true,,12.820,2.003,0.880,9.938,2,2,424,113,0,0,unsupported,0.002967,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:47:31.978Z
react-public-content_a11y-stagehand_e8b8fc8c-9536-4474-afeb-b9247fa228c2,react-public-content,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,bulletproof-react,http://127.0.0.1:3216,true,,14.017,1.954,0.432,11.632,2,2,424,112,0,0,unsupported,0.002952,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:47:46.039Z
react-public-content_a11y-stagehand_0cc7fb74-d3a8-4d4c-ad0a-d10c52bda3e9,react-public-content,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,bulletproof-react,http://127.0.0.1:3216,true,,14.652,1.917,0.444,12.291,2,2,1565,121,0,0,unsupported,0.00651,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:48:00.724Z
react-auth-boundary_a11y-stagehand_1b3f9179-add7-401e-aff2-ebaecff3e117,react-auth-boundary,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,bulletproof-react,http://127.0.0.1:3216,true,,23.545,2.274,0.457,20.814,5,5,3567,415,0,0,unsupported,0.016926,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:48:24.315Z
react-auth-boundary_a11y-stagehand_92751a8c-609e-4453-ae15-e7ca077a64d2,react-auth-boundary,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,bulletproof-react,http://127.0.0.1:3216,true,,23.118,1.869,0.451,20.798,5,5,3623,402,0,0,unsupported,0.016899,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:48:47.463Z
react-auth-boundary_a11y-stagehand_699c3d84-e955-482e-b860-57409909b4e7,react-auth-boundary,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,bulletproof-react,http://127.0.0.1:3216,true,,26.061,1.602,0.456,24.003,5,5,7515,398,0,0,unsupported,0.028515,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:49:13.567Z
directory-search_a11y-stagehand_7ae78dd3-e3c2-4d76-b980-d6d199559e62,directory-search,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,directory-9d8,http://127.0.0.1:3217,true,,19.425,9.296,1.273,8.856,2,2,2236,92,0,0,unsupported,0.008088,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:49:56.494Z
directory-search_a11y-stagehand_2cb5f015-4f20-453e-8018-b8ed638cbc1a,directory-search,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,directory-9d8,http://127.0.0.1:3217,true,,29.952,10.046,0.978,18.928,4,4,6082,241,0,0,unsupported,0.021861,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:50:26.502Z
directory-search_a11y-stagehand_d784b106-0c46-48e6-aab1-1c69a7b5e885,directory-search,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,directory-9d8,http://127.0.0.1:3217,true,,27.687,7.998,0.639,19.050,4,4,6042,216,0,0,unsupported,0.021366,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:50:54.234Z
directory-filter_a11y-stagehand_34301abb-fa06-4894-bf68-1029613cb1b3,directory-filter,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,directory-9d8,http://127.0.0.1:3217,true,,31.634,8.926,0.649,22.060,4,4,6237,246,0,0,unsupported,0.022401,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:51:25.920Z
directory-filter_a11y-stagehand_173744f0-9bf1-4937-8c07-17d3bf1814bd,directory-filter,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,directory-9d8,http://127.0.0.1:3217,true,,29.260,8.904,0.662,19.694,4,4,6237,258,0,0,unsupported,0.022581,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:51:55.244Z
directory-filter_a11y-stagehand_4f681251-2abb-4887-ac75-e8207a676a78,directory-filter,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,directory-9d8,http://127.0.0.1:3217,true,,30.502,8.304,0.629,21.569,4,4,6228,229,0,0,unsupported,0.022119,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:52:25.792Z
directory-detail_a11y-stagehand_a15a47dc-59c2-4d92-8f3c-88a897fdd651,directory-detail,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,directory-9d8,http://127.0.0.1:3217,true,,28.009,7.184,0.577,20.248,4,4,5722,201,0,0,unsupported,0.020181,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:52:53.846Z
directory-detail_a11y-stagehand_470531a4-8fc3-4469-b105-ddace181a0fe,directory-detail,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,directory-9d8,http://127.0.0.1:3217,true,,27.197,7.230,0.644,19.323,4,4,5725,202,0,0,unsupported,0.020205,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:53:21.089Z
directory-detail_a11y-stagehand_94cf54dd-f25f-493a-a6a2-9874c136e025,directory-detail,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,directory-9d8,http://127.0.0.1:3217,true,,28.571,6.739,0.650,21.182,4,4,5722,199,0,0,unsupported,0.020151,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:53:49.702Z
md-1_a11y-stagehand_bd099c27-9eeb-409b-b39e-a2373f0590e6,md-1,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,nextjs-starter-medusa,http://127.0.0.1:3218,true,,66.660,24.004,2.547,40.110,8,8,17370,599,0,0,unsupported,0.061095,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:55:55.012Z
md-1_a11y-stagehand_e66fba03-38e7-4029-874b-76b4f60e8137,md-1,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,nextjs-starter-medusa,http://127.0.0.1:3218,true,,67.736,27.182,2.619,37.935,9,9,21374,613,0,0,unsupported,0.073317,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:57:02.802Z
md-1_a11y-stagehand_8b916ad7-1076-4364-b199-cf6cca7c3e51,md-1,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,nextjs-starter-medusa,http://127.0.0.1:3218,true,,68.743,25.216,2.525,41.002,9,9,20312,729,0,0,unsupported,0.071871,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:58:11.600Z
md-2_a11y-stagehand_9c24b1d3-03b8-49bc-a92d-75c537acad45,md-2,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,nextjs-starter-medusa,http://127.0.0.1:3218,true,,90.037,25.002,2.590,62.446,13,13,33346,992,0,0,unsupported,0.114918,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T13:59:41.696Z
md-2_a11y-stagehand_ace9bca7-b8ce-4806-812e-9ab5d3fec0dc,md-2,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,nextjs-starter-medusa,http://127.0.0.1:3218,true,,80.460,25.185,2.656,52.619,13,13,21642,977,0,0,unsupported,0.079581,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T14:01:02.213Z
md-2_a11y-stagehand_9c0a0526-afca-4774-a2fc-4443b40fa0ed,md-2,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,nextjs-starter-medusa,http://127.0.0.1:3218,true,,64.060,23.602,2.487,37.971,8,8,13975,644,0,0,unsupported,0.051585,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T14:02:06.340Z
md-3_a11y-stagehand_e5f0f416-9e2a-4e13-882d-2d37f7689b78,md-3,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,nextjs-starter-medusa,http://127.0.0.1:3218,true,,91.047,25.514,2.785,62.748,13,13,33065,951,0,0,unsupported,0.11346,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T14:03:37.452Z
md-3_a11y-stagehand_de27cc78-3b33-45b0-99b2-bec946c06107,md-3,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,nextjs-starter-medusa,http://127.0.0.1:3218,true,,83.108,23.077,2.233,57.798,11,11,26673,850,0,0,unsupported,0.092769,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T14:05:00.613Z
md-3_a11y-stagehand_2380dae4-7c20-4fbf-8b96-e3a97cdb69e6,md-3,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,nextjs-starter-medusa,http://127.0.0.1:3218,true,,82.280,24.353,2.235,55.691,11,11,27390,793,0,0,unsupported,0.094065,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T14:06:22.943Z
md-9_a11y-stagehand_b3654d53-09cb-4de7-a812-0d800696e064,md-9,a11y-stagehand,claude-sonnet-5,stagehand@3.6.0,nextjs-starter-medusa,http://127.0.0.1:3218,true,,55.137,24.842,2.238,28.057,7,7,6266,491,0,0,unsupported,0.026163,,unavailable:stagehand@3.6,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T14:07:18.133Z
