run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,cache_write_tokens,caching,est_cost_usd,cost_estimated,snapshot_source,stop_reason,refusal,truncated,effort,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
blog-find-post_dom-browseruse_522c7d1f-d44f-46f6-99af-c1d32951f587,blog-find-post,dom-browseruse,claude-sonnet-5,browser-use@0.12.7,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,33.826,9.747,0.795,23.284,2,1,10113,1546,0,0,unsupported,0.053529,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T17:05:27.870Z
blog-find-post_dom-browseruse_cee4d159-5ad8-481b-9994-b2985c994169,blog-find-post,dom-browseruse,claude-sonnet-5,browser-use@0.12.7,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,111.544,9.790,0.536,101.218,12,1,161748,5011,0,0,unsupported,0.560409,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T17:07:19.459Z
blog-find-post_dom-browseruse_ef362b76-28f2-45e3-8b26-cf32ed3ef1ec,blog-find-post,dom-browseruse,claude-sonnet-5,browser-use@0.12.7,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,39.760,9.961,0.544,29.255,2,1,17650,999,0,0,unsupported,0.067935,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T17:07:59.264Z
blog-read-author_dom-browseruse_3b9c0aea-6f11-4c22-897e-5344733e3085,blog-read-author,dom-browseruse,claude-sonnet-5,browser-use@0.12.7,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,31.831,9.645,0.541,21.645,2,1,23013,589,0,0,unsupported,0.077874,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T17:08:31.140Z
blog-read-author_dom-browseruse_12f1d5e5-d56e-4aeb-8d7e-3fbcfd0714dd,blog-read-author,dom-browseruse,claude-sonnet-5,browser-use@0.12.7,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,23.433,9.808,0.542,13.083,2,1,23019,621,0,0,unsupported,0.078372,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T17:08:54.619Z
blog-read-author_dom-browseruse_ad8d0fcf-ad46-4a86-ba3f-5bc51176020f,blog-read-author,dom-browseruse,claude-sonnet-5,browser-use@0.12.7,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,24.282,9.657,0.537,14.088,2,1,23104,753,0,0,unsupported,0.080607,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T17:09:18.945Z
react-public-content_dom-browseruse_4e855320-4c20-485c-9476-4e08110f42fc,react-public-content,dom-browseruse,claude-sonnet-5,browser-use@0.12.7,bulletproof-react,http://127.0.0.1:3216,true,,17.848,1.784,0.494,15.570,2,1,22627,748,0,0,unsupported,0.079101,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T17:09:52.047Z
react-public-content_dom-browseruse_68cb5738-85c8-45ee-93ad-53ec3bdb6eae,react-public-content,dom-browseruse,claude-sonnet-5,browser-use@0.12.7,bulletproof-react,http://127.0.0.1:3216,true,,23.434,1.820,0.494,21.120,2,1,22499,788,0,0,unsupported,0.079317,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T17:10:15.523Z
react-public-content_dom-browseruse_f0faf3e1-59f3-44f2-88d5-a0e74ea89e7e,react-public-content,dom-browseruse,claude-sonnet-5,browser-use@0.12.7,bulletproof-react,http://127.0.0.1:3216,true,,24.005,1.881,0.496,21.628,2,1,22748,862,0,0,unsupported,0.081174,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T17:10:39.570Z
react-auth-boundary_dom-browseruse_90491141-6212-4c92-b87d-4eff1d243b3f,react-auth-boundary,dom-browseruse,claude-sonnet-5,browser-use@0.12.7,bulletproof-react,http://127.0.0.1:3216,true,,37.567,1.775,0.492,35.300,3,1,42282,1251,0,0,unsupported,0.145611,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T17:11:17.178Z
