run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,cache_write_tokens,caching,est_cost_usd,cost_estimated,snapshot_source,stop_reason,refusal,truncated,effort,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
blog-find-post_dom-browseruse_a9d6364d-68a6-418e-a527-fe970e43786f,blog-find-post,dom-browseruse,gpt-5.6-luna,browser-use@0.12.7,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,34.680,11.885,0.909,21.886,2,1,15520,922,0,0,unsupported,0.021052,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T22:32:01.818Z
blog-find-post_dom-browseruse_97b0f074-3e66-4511-9a93-2ee822607f25,blog-find-post,dom-browseruse,gpt-5.6-luna,browser-use@0.12.7,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,25.027,9.678,0.675,14.674,2,1,15503,919,0,0,unsupported,0.021017,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T22:32:26.889Z
blog-find-post_dom-browseruse_72bc1040-4338-4192-a600-d3dd3cbdcac2,blog-find-post,dom-browseruse,gpt-5.6-luna,browser-use@0.12.7,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,32.921,9.724,0.526,22.671,2,1,15467,934,0,0,unsupported,0.021071,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T22:32:59.840Z
blog-read-author_dom-browseruse_241031fa-b465-4663-a7ba-b54fc049830b,blog-read-author,dom-browseruse,gpt-5.6-luna,browser-use@0.12.7,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,19.533,9.835,0.666,9.032,2,1,15063,326,0,0,unsupported,0.017019,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T22:33:19.417Z
blog-read-author_dom-browseruse_b2ca571c-d806-4878-9849-fb38f1852e97,blog-read-author,dom-browseruse,gpt-5.6-luna,browser-use@0.12.7,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,18.466,9.670,0.681,8.116,2,1,15063,294,0,0,unsupported,0.016827,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T22:33:37.927Z
blog-read-author_dom-browseruse_663c80fb-31e3-4938-81cc-1a9d8274d1d7,blog-read-author,dom-browseruse,gpt-5.6-luna,browser-use@0.12.7,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,26.318,9.693,0.530,16.095,2,1,15065,292,0,0,unsupported,0.016817,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T22:34:04.277Z
react-public-content_dom-browseruse_26b15e0e-9ab3-4df0-b15e-5276eacb2dc6,react-public-content,dom-browseruse,gpt-5.6-luna,browser-use@0.12.7,bulletproof-react,http://127.0.0.1:3216,true,,12.598,1.847,0.685,10.066,2,1,14662,313,0,0,unsupported,0.01654,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T22:34:32.005Z
react-public-content_dom-browseruse_de53c30a-7c48-4a41-a1ee-fb2d8a708f42,react-public-content,dom-browseruse,gpt-5.6-luna,browser-use@0.12.7,bulletproof-react,http://127.0.0.1:3216,true,,17.534,1.817,0.630,15.088,2,1,14662,295,0,0,unsupported,0.016432,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T22:34:49.583Z
react-public-content_dom-browseruse_f99d253d-1645-4d58-9bed-08131db08634,react-public-content,dom-browseruse,gpt-5.6-luna,browser-use@0.12.7,bulletproof-react,http://127.0.0.1:3216,true,,12.616,1.931,0.633,10.053,2,1,14695,350,0,0,unsupported,0.016795,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T22:35:02.243Z
react-auth-boundary_dom-browseruse_8a2ff828-9313-48a3-bb0d-2f107485d3cc,react-auth-boundary,dom-browseruse,gpt-5.6-luna,browser-use@0.12.7,bulletproof-react,http://127.0.0.1:3216,true,,16.947,1.785,0.511,14.651,3,1,28090,697,0,0,unsupported,0.032272,,unavailable:browser-use@0.12.7,,false,false,provider-default,0,0,false,default,none,none,,,2026-08-19T22:35:19.232Z
