run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,cache_write_tokens,caching,est_cost_usd,cost_estimated,snapshot_source,stop_reason,refusal,truncated,effort,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
hev-8_cu-openai_2a4b92a8-c26e-4db6-b89a-7683ec156efb,hev-8,cu-openai,gpt-5.6-luna,computer,hi-events,http://127.0.0.1:3222,true,,67.636,22.026,3.211,42.399,10,27,36265,941,5639,,provider-managed,0.0424749,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-16T19:53:01.804Z
hev-8_cu-openai_29306b94-8fe7-4a95-863c-adb65e1d2c7d,hev-8,cu-openai,gpt-5.6-luna,computer,hi-events,http://127.0.0.1:3222,true,,58.517,22.348,3.199,32.970,7,21,20653,696,5638,,provider-managed,0.0253928,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-16T19:54:00.393Z
hev-8_cu-openai_b8f3e6d7-3d9c-4ce3-af66-95f3dec2615b,hev-8,cu-openai,gpt-5.6-luna,computer,hi-events,http://127.0.0.1:3222,true,,60.638,23.726,3.198,33.713,6,19,15491,710,5626,,provider-managed,0.020313599999999998,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-16T19:55:01.088Z
hev-8_wm-gpt_334c7258-f3ef-4127-a425-96260f32c346,hev-8,wm-gpt,gpt-5.6-luna,responses-api,hi-events,http://127.0.0.1:3230,true,,33.403,23.475,0.717,9.212,4,9,2030,255,0,,provider-managed,0.00356,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-16T21:32:05.668Z
hev-8_wm-gpt_f6292675-bac2-463f-970e-13b4ca37025e,hev-8,wm-gpt,gpt-5.6-luna,responses-api,hi-events,http://127.0.0.1:3230,true,,34.480,23.975,0.706,9.800,4,9,2069,251,0,,provider-managed,0.003575,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-16T21:32:40.198Z
hev-8_wm-gpt_0e1a17ea-31bc-4838-a5e6-5b14c1e5e1c6,hev-8,wm-gpt,gpt-5.6-luna,responses-api,hi-events,http://127.0.0.1:3230,true,,33.920,23.309,0.689,9.922,4,9,2195,271,0,,provider-managed,0.003821,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-16T21:33:14.164Z
md-7_cu-gemini_325f11ca-444a-4d71-8bfd-b5bda463d7a7,md-7,cu-gemini,gemini-3.6-flash,computer_use@interactions-v1beta,nextjs-starter-medusa,http://127.0.0.1:3218,true,,79.571,26.512,3.794,49.264,14,27,58240,1548,0,,provider-managed,0.049485,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-17T06:42:56.156Z
md-7_cu-gemini_675917e1-6c4c-406c-9c94-635e7c63920e,md-7,cu-gemini,gemini-3.6-flash,computer_use@interactions-v1beta,nextjs-starter-medusa,http://127.0.0.1:3218,true,,76.460,26.555,3.856,46.048,13,25,51305,1073,0,,provider-managed,0.0425025,,,,,,,0,0,false,default,none,none,,canonical rescored,2026-08-17T06:44:12.684Z
md-7_cu-gemini_9a386fcb-3210-444f-888e-c07c557c3ba0,md-7,cu-gemini,gemini-3.6-flash,computer_use@interactions-v1beta,nextjs-starter-medusa,http://127.0.0.1:3218,true,,95.872,27.467,3.835,64.570,15,29,61581,1089,0,,provider-managed,0.0502695,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-17T06:45:48.735Z
hev-8_cu-gemini_fd53e0e2-03d7-4d34-aa42-785eea98396f,hev-8,cu-gemini,gemini-3.6-flash,computer_use@interactions-v1beta,hi-events,http://127.0.0.1:3222,true,,79.389,21.842,3.367,54.180,10,19,35958,916,0,,provider-managed,0.0304035,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-17T09:06:53.617Z
hev-8_cu-gemini_a0ec3da6-c1bb-4c93-a40c-826ee42197d4,hev-8,cu-gemini,gemini-3.6-flash,computer_use@interactions-v1beta,hi-events,http://127.0.0.1:3222,true,,75.117,22.815,4.365,47.937,9,17,30834,644,0,,provider-managed,0.0255405,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-17T09:08:08.785Z
hev-8_cu-gemini_fd1f4563-466c-4546-b687-77bfdf4cd524,hev-8,cu-gemini,gemini-3.6-flash,computer_use@interactions-v1beta,hi-events,http://127.0.0.1:3222,true,,64.704,22.161,3.347,39.196,7,13,23212,805,0,,provider-managed,0.02042775,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-17T09:09:13.549Z
hev-8_wm-gemini_d29827da-3fee-4eba-820d-bc37526db32b,hev-8,wm-gemini,gemini-3.6-flash,gemini-rest,hi-events,http://127.0.0.1:3230,true,,33.829,23.155,0.795,9.879,4,9,2269,599,0,,provider-managed,0.003948,,,,,,,0,0,false,default,none,none,,canonical rescored,2026-08-17T11:02:50.605Z
hev-8_wm-gemini_34d16ef8-678d-454b-86a9-d4a511c0621d,hev-8,wm-gemini,gemini-3.6-flash,gemini-rest,hi-events,http://127.0.0.1:3230,true,,32.848,23.336,0.758,8.754,4,9,2379,600,0,,provider-managed,0.00403425,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-17T11:03:23.507Z
hev-8_wm-gemini_b672d71a-6d8c-425f-bb58-807426dd3f88,hev-8,wm-gemini,gemini-3.6-flash,gemini-rest,hi-events,http://127.0.0.1:3230,true,,32.794,23.134,0.734,8.925,4,9,2365,524,0,,provider-managed,0.00373875,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-17T11:03:56.358Z
hev-8_cu-claude_8559b89b-a0ef-49f3-819b-c22f7ec0b10b,hev-8,cu-claude,claude-opus-5,computer_20251124,hi-events,http://127.0.0.1:3222,true,,74.183,23.425,3.246,47.512,11,21,151,1111,44240,,enabled,0.11391875,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-17T15:50:22.123Z
hev-8_cu-claude_52b12d67-630c-47f6-83c0-813cde5dfe84,hev-8,cu-claude,claude-opus-5,computer_20251124,hi-events,http://127.0.0.1:3222,true,,69.674,24.097,3.345,42.232,11,21,151,1175,44227,,enabled,0.11588725,,,,,,,0,0,false,default,none,none,,canonical rescored,2026-08-17T15:51:31.898Z
hev-8_cu-claude_8cdca6b4-b9aa-4f60-9e39-b54d7b28e733,hev-8,cu-claude,claude-opus-5,computer_20251124,hi-events,http://127.0.0.1:3222,true,,66.710,25.025,3.365,38.320,11,21,151,1160,45830,,enabled,0.10620125,,,,,,,0,0,false,default,none,none,,canonical rescored,2026-08-17T15:52:38.684Z
hev-8_wm-claude_bbe2579c-a7d5-436a-a37a-c45d2acc334e,hev-8,wm-claude,claude-opus-5,@anthropic-ai/sdk,hi-events,http://127.0.0.1:3230,true,,37.589,22.200,0.729,14.660,4,9,137,677,1973,,enabled,0.03107775,,,,,,,0,0,false,default,none,none,,canonical rescored,2026-08-17T17:42:58.630Z
hev-8_wm-claude_4be54b73-1915-4416-bba2-9b8ab2a3968f,hev-8,wm-claude,claude-opus-5,@anthropic-ai/sdk,hi-events,http://127.0.0.1:3230,true,,40.881,23.689,0.707,16.484,4,9,137,768,3383,,enabled,0.026189,,,,,,,0,0,false,default,none,none,,canonical rescored,2026-08-17T17:43:39.568Z
hev-8_wm-claude_ef2d168d-8f8c-464a-b2f3-7fd96b52fee8,hev-8,wm-claude,claude-opus-5,@anthropic-ai/sdk,hi-events,http://127.0.0.1:3230,true,,40.104,23.511,0.776,15.816,4,9,137,578,3327,,enabled,0.02107975,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-17T17:44:19.734Z
hev-8_wm-gpt_4d8e082d-238e-4986-9aab-50f0283c7242,hev-8,wm-gpt,gpt-5.6-sol,responses-api,hi-events,http://127.0.0.1:3230,true,,41.176,23.282,0.721,17.173,4,9,2003,216,0,,provider-managed,0.016495,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-17T05:22:21.131Z
hev-8_wm-gpt_ed9c1a2d-f1c1-4bbe-9feb-b90d4b11d618,hev-8,wm-gpt,gpt-5.6-sol,responses-api,hi-events,http://127.0.0.1:3230,true,,42.126,24.639,0.776,16.711,4,9,2008,216,0,,provider-managed,0.01652,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-17T05:23:03.310Z
hev-8_wm-gpt_933cecbc-7ae3-42d5-99d1-ce701a4f3e68,hev-8,wm-gpt,gpt-5.6-sol,responses-api,hi-events,http://127.0.0.1:3230,true,,39.721,22.673,0.748,16.301,4,9,2005,220,0,,provider-managed,0.016625,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-17T05:23:43.089Z
hev-8_wm-stagehand-v4-gemini_1b44e668-0086-4f6b-9f3c-f65bc0f90cea,hev-8,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,hi-events,http://127.0.0.1:3222,true,,35.763,21.524,1.660,12.579,4,9,2570,875,0,,provider-managed,0.00520875,,,,,,,0,0,false,default,none,none,,canonical rescored,2026-08-18T12:11:06.286Z
hev-8_wm-stagehand-v4-gemini_92342331-afe5-4b54-a9cc-fe47fd0f7793,hev-8,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,hi-events,http://127.0.0.1:3222,true,,33.769,21.147,1.424,11.198,4,9,2400,595,0,,provider-managed,0.00403125,,,,,,,0,0,false,default,none,none,corrected-false-negative,canonical rescored,2026-08-18T12:11:40.099Z
hev-8_wm-stagehand-v4-gemini_31ab3a99-0371-41d4-b114-0852864a163c,hev-8,wm-stagehand-v4-gemini,gemini-3.6-flash,stagehand@4.0.0+native-webmcp+gemini-rest,hi-events,http://127.0.0.1:3222,true,,34.444,22.269,1.443,10.732,4,9,2317,720,0,,provider-managed,0.00443775,,,,,,,0,0,false,default,none,none,,canonical rescored,2026-08-18T12:12:14.585Z
