run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,cache_write_tokens,caching,est_cost_usd,cost_estimated,snapshot_source,stop_reason,refusal,truncated,effort,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
blog-find-post_cu-openai_79cf0054-3683-4517-9cf4-70a3411c2c86,blog-find-post,cu-openai,gpt-5.6-sol,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,false,"harness-agent: OpenAI 400: {
  ""error"": {
    ""message"": ""Invalid prompt: your prompt was flagged as potentially violating our usage policy. Please try again with a different prompt: https://platform.openai.com/docs/guides/reasoning#advice-on-prompting"",
    ""type"": ""invalid_request_error"",
    ""param"": null,
    ""code"": ""inv",9.947,9.947,0.000,0.000,0,0,0,0,0,0,unsupported,0,,,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:10:05.440Z
blog-find-post_cu-openai_6c1bed9a-4387-4317-baee-00936852f59b,blog-find-post,cu-openai,gpt-5.6-sol,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,39.504,9.620,3.193,26.692,5,11,10390,422,5541,0,provider-managed,0.0673805,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:10:44.995Z
blog-find-post_cu-openai_2bc53111-e5a9-4ed9-be30-82063ca578c8,blog-find-post,cu-openai,gpt-5.6-sol,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,337.027,9.946,3.154,323.927,4,9,5710,552,5589,0,provider-managed,0.0479045,,provider-response,,false,false,,1,2000,false,default,none,none,,,2026-08-20T04:16:22.073Z
blog-read-author_cu-openai_e5d7c836-e347-4f12-8c42-5574e10482b4,blog-read-author,cu-openai,gpt-5.6-sol,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,21.029,9.910,5.124,5.995,2,3,3029,50,0,0,provider-managed,0.016645,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:16:43.152Z
blog-read-author_cu-openai_48bcdbe9-d8a7-4319-98c9-6d4b42a4e9ec,blog-read-author,cu-openai,gpt-5.6-sol,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,321.971,9.457,5.068,307.446,2,3,3023,44,0,0,provider-managed,0.016435,,provider-response,,false,false,,1,2000,false,default,none,none,,,2026-08-20T04:22:05.153Z
blog-read-author_cu-openai_18461d76-da1d-4d97-bab0-95a62c26b075,blog-read-author,cu-openai,gpt-5.6-sol,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,21.035,9.979,5.117,5.939,2,3,3025,46,0,0,provider-managed,0.016505,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:22:26.235Z
react-public-content_cu-openai_5b1fbd06-4a52-44d4-92ac-f70f7581da77,react-public-content,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3216,true,,15.982,1.814,4.015,10.153,3,6,4384,239,2139,0,provider-managed,0.0301595,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:22:57.368Z
react-public-content_cu-openai_4cd85495-7762-4807-88a1-686df98a0577,react-public-content,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3216,true,,18.645,1.799,3.311,13.534,3,6,4319,214,2131,0,provider-managed,0.0290805,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:23:16.061Z
react-public-content_cu-openai_63dd7ca2-2260-43d3-8dd3-9a48b8a8cd13,react-public-content,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3216,true,,12.531,1.810,3.977,6.744,2,3,3053,146,0,0,provider-managed,0.019645,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:23:28.641Z
react-auth-boundary_cu-openai_3e4d01b5-786d-4270-bf5d-b12a334ecf4d,react-auth-boundary,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3216,true,,21.164,1.786,3.376,16.002,4,8,5599,303,5549,0,provider-managed,0.0398595,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:23:49.853Z
react-auth-boundary_cu-openai_5f88f510-42af-436e-99b6-d3f4746253e9,react-auth-boundary,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3216,true,,15.556,1.780,3.567,10.210,3,6,4313,177,2137,0,provider-managed,0.0279435,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:24:05.443Z
react-auth-boundary_cu-openai_7a9555b7-284e-4216-b2d3-cba5d3a84102,react-auth-boundary,cu-openai,gpt-5.6-sol,computer,bulletproof-react,http://127.0.0.1:3216,true,,15.592,1.497,3.348,10.746,3,6,4328,320,2141,0,provider-managed,0.0323105,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:24:21.069Z
directory-search_cu-openai_78a8dae8-dd96-4ee3-8bc0-2d1c12b20d0f,directory-search,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,23.191,7.420,3.254,12.517,4,9,5652,262,5576,0,provider-managed,0.038908,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:25:04.232Z
directory-search_cu-openai_9d895c42-f3f6-4481-89cd-ec6d3c11fb21,directory-search,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,31.978,8.729,3.139,20.110,5,12,10555,391,5579,0,provider-managed,0.0672945,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:25:36.260Z
directory-search_cu-openai_bd13432e-3ca0-4f45-9265-074b184aecd0,directory-search,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,26.928,6.630,2.998,17.299,4,10,5697,299,5596,0,provider-managed,0.040253,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:26:03.234Z
directory-filter_cu-openai_cf1406c0-c9d9-495d-be66-d07105950b61,directory-filter,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,24.872,6.845,2.989,15.038,3,6,4630,480,2444,0,provider-managed,0.038772,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:26:28.150Z
directory-filter_cu-openai_2ea5d770-be72-49b3-acaf-129ad244a1fb,directory-filter,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,21.075,5.993,2.991,12.091,3,6,4380,223,2200,0,provider-managed,0.02969,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:26:49.269Z
directory-filter_cu-openai_0f502883-8d1f-42f3-9c92-872c1dedeeb2,directory-filter,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,19.494,5.983,2.982,10.529,3,6,4342,202,2139,0,provider-managed,0.0288395,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:27:08.809Z
directory-detail_cu-openai_96339086-9d09-479b-a9b6-7251af636260,directory-detail,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,28.506,5.953,3.014,19.539,5,11,10348,239,5582,0,provider-managed,0.061701,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:27:37.359Z
directory-detail_cu-openai_a4adf3a8-726b-47f4-b6c1-078bcb185df6,directory-detail,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,27.280,6.176,3.027,18.077,5,11,10371,268,5596,0,provider-managed,0.062693,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:28:04.686Z
directory-detail_cu-openai_c4c70d2b-263f-4980-9b7f-d5a6e9b778fb,directory-detail,cu-openai,gpt-5.6-sol,computer,directory-9d8,http://127.0.0.1:3217,true,,19.006,5.924,3.006,10.077,3,6,4320,144,2136,0,provider-managed,0.026988,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:28:23.737Z
md-1_cu-openai_d5abb6ca-93e9-4814-8400-06f7bd74ea1b,md-1,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,40.298,20.971,3.712,15.615,4,9,5554,275,5540,0,provider-managed,0.03879,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:29:57.572Z
md-1_cu-openai_b87ed06c-ff41-4a48-a517-0d859e9330f1,md-1,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,40.213,21.333,3.752,15.128,4,9,5560,255,5536,0,provider-managed,0.038218,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:30:37.838Z
md-1_cu-openai_a29174c9-a144-4b20-add9-07b45d8549bf,md-1,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,47.956,21.181,3.748,23.028,6,14,15190,379,5541,0,provider-managed,0.0900905,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:31:25.844Z
md-2_cu-openai_27c18226-2f91-43e7-a310-a7ac4b7e27a1,md-2,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,60.112,21.223,3.721,35.168,8,18,25232,540,5695,0,provider-managed,0.1452075,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:32:26.015Z
md-2_cu-openai_eafaa0f5-41be-4e45-be97-8efe2196dbed,md-2,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,64.828,21.252,3.716,39.859,9,22,30648,684,5711,0,provider-managed,0.1766155,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:33:30.894Z
md-2_cu-openai_093a0a2d-9763-4089-996b-9ba5187fabd7,md-2,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,57.253,21.127,3.749,32.377,8,19,24985,520,5526,0,provider-managed,0.143288,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:34:28.201Z
md-3_cu-openai_3c25dddc-6eac-419e-a694-b5551c083bc2,md-3,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,63.536,21.143,3.730,38.663,9,20,29928,574,5517,0,provider-managed,0.1696185,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:35:31.787Z
md-3_cu-openai_04beb075-316f-41e1-8d73-2a531e48a475,md-3,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,70.975,21.404,3.695,45.877,8,23,25501,638,5522,0,provider-managed,0.149406,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:36:42.815Z
md-3_cu-openai_685148f6-e0e2-4edf-8555-8882a815f246,md-3,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,58.461,22.371,3.721,32.370,8,18,24957,473,5565,0,provider-managed,0.1417575,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:37:41.340Z
md-9_cu-openai_7ce7680e-44cd-4e76-bff1-b7622732dc99,md-9,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,48.359,21.451,3.709,23.199,5,13,10501,394,5754,0,provider-managed,0.067202,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:38:29.747Z
md-9_cu-openai_72371174-c0e5-4316-bf46-9d74ed7a18d2,md-9,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,40.089,21.172,3.726,15.192,4,9,5585,237,5598,0,provider-managed,0.037834,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:39:09.889Z
md-9_cu-openai_c5b935db-3d4f-42ea-b272-07ebb831fd06,md-9,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,340.808,21.093,3.678,316.037,4,9,5576,229,5560,0,provider-managed,0.03753,,provider-response,,false,false,,1,2000,false,default,none,none,,,2026-08-20T04:44:50.749Z
md-4_cu-openai_994c322b-9740-4fa6-9b5a-cf40bf882b21,md-4,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,44.801,21.236,3.645,19.921,5,12,10297,208,5585,0,provider-managed,0.0605175,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:45:35.602Z
md-4_cu-openai_852d5759-bf86-4453-a301-57ef14ae402d,md-4,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,44.463,20.806,3.672,19.984,5,12,10249,186,5537,0,provider-managed,0.0595935,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:46:20.111Z
md-4_cu-openai_c95b02c7-82c8-4510-aead-c091f7f4fe5a,md-4,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,45.181,21.040,3.643,20.498,5,12,10350,237,5636,0,provider-managed,0.061678,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:47:05.340Z
md-6_cu-openai_ad35bbc7-1442-4440-9076-c61565e3d1f5,md-6,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,33.745,20.939,3.628,9.178,3,6,4387,161,2145,0,provider-managed,0.0278375,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:47:39.138Z
md-6_cu-openai_f91f5ab1-d0ea-47b0-8998-4c8edeb4b232,md-6,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,36.516,20.995,3.646,11.875,3,6,4412,254,2235,0,provider-managed,0.0307975,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:48:15.703Z
md-6_cu-openai_098a6927-c1a7-4959-aaf0-93adf7d13b47,md-6,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,39.001,20.907,3.657,14.437,3,6,4550,351,2340,0,provider-managed,0.03445,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:48:54.750Z
md-5_cu-openai_9cb9603f-fee5-4564-b390-8100ed041147,md-5,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,56.951,20.851,3.637,32.463,7,19,20284,404,5721,0,provider-managed,0.1164005,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:49:52.020Z
md-5_cu-openai_8dfca7c9-f547-496e-b9fe-fe9a1b52a201,md-5,cu-openai,gpt-5.6-sol,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,58.331,20.938,3.648,33.745,7,19,20971,576,6066,0,provider-managed,0.125168,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T04:50:50.672Z
