run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,cache_write_tokens,caching,est_cost_usd,cost_estimated,snapshot_source,stop_reason,refusal,truncated,effort,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
lh-1_cu-openai_8e029683-2e9b-4048-95cd-948ab95d5182,lh-1,cu-openai,gpt-6-astra,computer,learnhouse,http://127.0.0.1:3215,true,,25.020,14.157,3.047,7.815,3,5,901,87,0,5501,provider-managed,0.0821225,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:01:55.033Z
lh-1_cu-openai_70df4e01-1ad5-4d7d-a348-e705f1562c23,lh-1,cu-openai,gpt-6-astra,computer,learnhouse,http://127.0.0.1:3215,true,,22.387,14.543,2.956,4.887,2,3,898,39,0,2122,provider-managed,0.037455,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:02:17.473Z
lh-1_cu-openai_00596021-cfff-41df-9145-2d89318352bc,lh-1,cu-openai,gpt-6-astra,computer,learnhouse,http://127.0.0.1:3215,true,,28.372,14.517,2.955,10.900,3,5,901,94,0,5509,provider-managed,0.0825725,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:02:45.896Z
lh-2_cu-openai_ee67ecf3-0241-4b35-b6b7-0f884b8bdc39,lh-2,cu-openai,gpt-6-astra,computer,learnhouse,http://127.0.0.1:3215,true,,29.675,14.588,2.988,12.099,4,7,905,116,0,10113,provider-managed,0.1412625,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:03:15.627Z
lh-2_cu-openai_43ccbdce-2957-441c-9103-038929399c77,lh-2,cu-openai,gpt-6-astra,computer,learnhouse,http://127.0.0.1:3215,true,,32.622,15.482,2.943,14.197,5,9,908,133,0,14729,provider-managed,0.1998425,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:03:48.298Z
lh-2_cu-openai_09ed7c93-26ce-4d15-b6d4-fa87ce0b68a4,lh-2,cu-openai,gpt-6-astra,computer,learnhouse,http://127.0.0.1:3215,true,,33.328,14.372,2.958,15.997,5,9,908,160,0,14809,provider-managed,0.2021925,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:04:21.683Z
lh-3_cu-openai_4a13fb0e-6961-49aa-b5a8-716061939c9b,lh-3,cu-openai,gpt-6-astra,computer,learnhouse,http://127.0.0.1:3215,true,,30.361,14.467,2.967,12.928,5,9,913,131,0,14755,provider-managed,0.2001175,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:04:52.098Z
lh-3_cu-openai_fe7fee47-ebf7-4e09-b3d8-df38ffc7453b,lh-3,cu-openai,gpt-6-astra,computer,learnhouse,http://127.0.0.1:3215,true,,29.836,14.611,2.937,12.288,5,9,913,127,0,14749,provider-managed,0.1998425,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:05:21.990Z
lh-3_cu-openai_3621d953-f5c9-4cb0-bab6-401909b113cc,lh-3,cu-openai,gpt-6-astra,computer,learnhouse,http://127.0.0.1:3215,true,,31.474,14.434,2.946,14.093,5,9,913,134,0,14771,provider-managed,0.2004675,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:05:53.520Z
lh-5_cu-openai_240f4c8c-d705-4159-8cfe-1bdd0e105cb8,lh-5,cu-openai,gpt-6-astra,computer,learnhouse,http://127.0.0.1:3215,true,,34.324,14.551,2.941,16.832,6,12,915,163,0,19436,provider-managed,0.26025,,provider-response,,false,false,medium,0,0,false,default,none,none,,,2026-09-05T23:06:27.897Z
