run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,cache_write_tokens,caching,est_cost_usd,cost_estimated,snapshot_source,stop_reason,refusal,truncated,effort,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
blog-find-post_cu-openai_1346fcc2-4f07-45a2-9218-f58a7e05d531,blog-find-post,cu-openai,gpt-5.6-luna,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,26.771,12.129,3.365,11.277,4,8,5595,214,5542,,provider-managed,0.0074332,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:05:10.017Z
blog-find-post_cu-openai_4c2c082c-b51f-4c0c-82a3-a6f5b8f1a98f,blog-find-post,cu-openai,gpt-5.6-luna,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,26.854,12.677,3.335,10.843,4,10,5597,190,5559,,provider-managed,0.0072929,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:05:36.921Z
blog-find-post_cu-openai_368b0f37-88b1-41f6-9f02-68209aefc6d5,blog-find-post,cu-openai,gpt-5.6-luna,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,24.648,12.494,3.044,9.110,3,5,4306,126,2136,,provider-managed,0.0052756,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:06:01.626Z
blog-read-author_cu-openai_cbfde05c-438c-47f0-967c-bc71ade33647,blog-read-author,cu-openai,gpt-5.6-luna,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,18.480,9.535,5.096,3.849,2,3,3022,54,0,0,provider-managed,0.003346,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:01:57.488Z
blog-read-author_cu-openai_b2593dda-bc6a-437d-80fd-d440418825fe,blog-read-author,cu-openai,gpt-5.6-luna,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,19.228,9.391,5.183,4.653,2,3,3023,54,0,0,provider-managed,0.003347,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:02:16.763Z
blog-read-author_cu-openai_27628924-0920-421d-9f52-63c40a8fd08b,blog-read-author,cu-openai,gpt-5.6-luna,computer,tailwind-nextjs-blog,http://127.0.0.1:3215,true,,18.437,9.355,5.131,3.951,2,3,3022,56,0,0,provider-managed,0.003358,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:02:35.248Z
react-public-content_cu-openai_e481ca8a-e4ef-4a3e-ab5d-1a932f50cd91,react-public-content,cu-openai,gpt-5.6-luna,computer,bulletproof-react,http://127.0.0.1:3216,true,,10.589,2.269,4.048,4.272,2,3,3022,98,0,,provider-managed,0.00361,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:08:59.050Z
react-public-content_cu-openai_cfdf4f6f-8b2a-49ce-b3d2-3cc8d0456e70,react-public-content,cu-openai,gpt-5.6-luna,computer,bulletproof-react,http://127.0.0.1:3216,true,,11.845,2.086,4.099,5.660,2,3,3025,188,0,,provider-managed,0.004153,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:09:10.956Z
react-public-content_cu-openai_b40db54e-ad37-4810-be4e-0ebc357cbd94,react-public-content,cu-openai,gpt-5.6-luna,computer,bulletproof-react,http://127.0.0.1:3216,true,,10.854,2.206,4.059,4.589,2,3,3025,123,0,,provider-managed,0.003763,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:09:21.863Z
react-auth-boundary_cu-openai_98dee473-abf5-4317-beeb-cc2c3dabee02,react-auth-boundary,cu-openai,gpt-5.6-luna,computer,bulletproof-react,http://127.0.0.1:3216,true,,14.572,2.182,3.660,8.730,3,6,4323,207,2151,,provider-managed,0.005780100000000001,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:09:36.492Z
react-auth-boundary_cu-openai_ae8d8de1-ce2b-4860-829e-768802265775,react-auth-boundary,cu-openai,gpt-5.6-luna,computer,bulletproof-react,http://127.0.0.1:3216,true,,15.498,2.124,3.992,9.382,3,6,4300,221,2135,,provider-managed,0.0058395,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:09:52.045Z
react-auth-boundary_cu-openai_9427ebfb-0d37-4035-8e40-c60b880684a7,react-auth-boundary,cu-openai,gpt-5.6-luna,computer,bulletproof-react,http://127.0.0.1:3216,true,,14.898,2.103,3.827,8.969,3,6,2170,260,4270,,provider-managed,0.004157,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:10:06.996Z
directory-search_cu-openai_23db2d7c-8e24-4dde-bdb7-abf9652c8c86,directory-search,cu-openai,gpt-5.6-luna,computer,directory-9d8,http://127.0.0.1:3217,true,,25.884,9.865,3.203,12.817,4,10,5699,282,5555,,provider-managed,0.0079465,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:11:54.461Z
directory-search_cu-openai_1f9eb365-dd34-4330-b71c-2d746783d0a5,directory-search,cu-openai,gpt-5.6-luna,computer,directory-9d8,http://127.0.0.1:3217,true,,24.582,11.118,3.179,10.285,4,7,5579,229,5547,,provider-managed,0.0075077,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:12:19.100Z
directory-search_cu-openai_eee09c97-fbd8-4e33-b11e-2857fde67fbe,directory-search,cu-openai,gpt-5.6-luna,computer,directory-9d8,http://127.0.0.1:3217,true,,58.708,8.897,3.064,46.748,10,59,37875,1211,5543,,provider-managed,0.0456953,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:13:17.868Z
directory-filter_cu-openai_1386fd17-b408-4445-91dc-59b0a0e89b37,directory-filter,cu-openai,gpt-5.6-luna,computer,directory-9d8,http://127.0.0.1:3215,true,,19.349,7.700,3.177,8.472,3,6,4325,168,2137,0,provider-managed,0.0055467,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T01:59:26.731Z
directory-filter_cu-openai_ca7ca875-7f44-418b-9052-95267d817a30,directory-filter,cu-openai,gpt-5.6-luna,computer,directory-9d8,http://127.0.0.1:3215,true,,20.865,8.661,3.156,9.048,3,6,4321,160,2136,0,provider-managed,0.0054946000000000005,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T01:59:47.664Z
directory-filter_cu-openai_da29ac0c-f8fa-4316-9faa-efa3dd2322b4,directory-filter,cu-openai,gpt-5.6-luna,computer,directory-9d8,http://127.0.0.1:3215,true,,17.198,7.041,3.087,7.070,3,5,4299,159,2136,0,provider-managed,0.0054666,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:00:04.911Z
directory-detail_cu-openai_b2b4166d-0305-4fed-bd68-e8e8c50306bb,directory-detail,cu-openai,gpt-5.6-luna,computer,directory-9d8,http://127.0.0.1:3217,true,,29.164,7.740,3.077,18.347,7,14,19976,352,5535,,provider-managed,0.0226415,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:14:42.603Z
directory-detail_cu-openai_ad0a33c2-747f-4bb2-8f05-b4d31f5ef87d,directory-detail,cu-openai,gpt-5.6-luna,computer,directory-9d8,http://127.0.0.1:3217,true,,38.701,7.785,3.062,27.855,6,14,15107,274,5527,,provider-managed,0.0173037,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:15:21.388Z
directory-detail_cu-openai_364fcc02-2699-45b6-bc09-5167af42f63c,directory-detail,cu-openai,gpt-5.6-luna,computer,directory-9d8,http://127.0.0.1:3217,true,,20.955,8.016,3.051,9.888,4,7,5554,174,5523,,provider-managed,0.0071503,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:15:42.405Z
md-1_cu-openai_a5fc2d9d-8f64-4fac-a7d9-f473fcf66624,md-1,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,41.695,25.374,3.725,12.597,5,10,10274,258,5528,,provider-managed,0.0123748,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:20:07.459Z
md-1_cu-openai_a43ea7d3-c118-4b90-b076-d0ec62cef01d,md-1,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,40.552,25.839,3.767,10.947,4,8,5544,224,5526,,provider-managed,0.0074406,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:20:48.063Z
md-1_cu-openai_86efc06b-6de2-4349-9988-11c5a4833326,md-1,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,41.393,26.302,3.868,11.223,4,8,5555,243,5529,,provider-managed,0.0075658999999999995,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:21:29.517Z
md-2_cu-openai_63275d67-04f5-4b4a-aa1e-e624c504238a,md-2,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,53.574,25.615,3.742,24.218,9,18,30071,563,5514,,provider-managed,0.0340004,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:22:23.147Z
md-2_cu-openai_d143fe71-3df5-46a4-bb3b-14d98274b98f,md-2,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,63.985,25.314,3.715,34.956,10,27,35690,762,5514,,provider-managed,0.0408134,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:23:27.189Z
md-2_cu-openai_822ba2f3-2077-405c-a2b9-32f751e1e100,md-2,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,64.636,25.425,3.715,35.496,10,27,35590,750,5520,,provider-managed,0.040642,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:24:31.882Z
md-3_cu-openai_56e18c75-22ec-4a47-9030-17f9adf9f7dd,md-3,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,false,"answer predicate failed: {""type"":""answer"",""contains"":[""no questions asked""]}",79.680,25.839,3.688,50.153,12,35,47773,1132,5512,,provider-managed,0.0551162,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:25:51.611Z
md-3_cu-openai_6f687b71-06ba-4190-941b-f98dab0a08bb,md-3,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,false,"answer predicate failed: {""type"":""answer"",""contains"":[""no questions asked""]}",96.366,25.520,3.730,67.116,16,47,70073,1592,5504,,provider-managed,0.0801754,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:27:28.029Z
md-3_cu-openai_ada0b503-91b1-41a9-b9a5-07a656dcb449,md-3,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,false,"answer predicate failed: {""type"":""answer"",""contains"":[""no questions asked""]}",71.182,25.533,3.778,41.871,10,26,38070,1299,5506,,provider-managed,0.0464146,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:28:39.264Z
md-9_cu-openai_1117a58a-ea04-4227-814a-9c8578fae108,md-9,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,45.978,27.991,3.813,14.174,5,10,10259,237,5526,,provider-managed,0.0122336,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:29:25.318Z
md-9_cu-openai_906f8f01-60d7-4f8f-9e2e-b80af5ad9892,md-9,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,41.827,25.435,3.808,12.584,5,10,10292,203,5527,,provider-managed,0.0120627,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:30:07.207Z
md-9_cu-openai_621efc1f-efda-4d2a-bfdf-944574ece42e,md-9,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,38.996,25.399,3.697,9.900,4,8,5544,143,5526,,provider-managed,0.0069546,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:30:46.275Z
md-4_cu-openai_ea974aba-d0ac-49a6-9944-d2157ad2e54d,md-4,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,44.328,25.433,3.720,15.176,5,11,10221,173,5516,,provider-managed,0.011810600000000001,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:31:30.660Z
md-4_cu-openai_b65cbaa3-568c-4a19-919b-592bdae730a7,md-4,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,43.851,29.497,3.859,10.494,5,9,10211,164,5518,,provider-managed,0.0117468,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:32:14.572Z
md-4_cu-openai_4f5f42d3-20e1-40ca-8b3c-4b580af3cc2d,md-4,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,44.318,25.663,3.758,14.897,5,11,10233,196,5523,,provider-managed,0.0119613,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:32:58.941Z
md-6_cu-openai_8bd17a44-5356-4430-99bf-c1f432add2d2,md-6,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,34.382,25.440,3.690,5.251,2,3,3048,111,0,,provider-managed,0.003714,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:33:33.382Z
md-6_cu-openai_9267cb24-e81f-4f27-93ec-a1f4a8ac9b84,md-6,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,37.407,25.986,3.788,7.633,3,6,4337,107,2141,,provider-managed,0.0051931,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:34:10.840Z
md-6_cu-openai_2ea34cbd-7873-4107-8869-7532518e5f76,md-6,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,33.710,25.533,3.714,4.463,2,3,3048,101,0,,provider-managed,0.003654,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:34:44.603Z
md-5_cu-openai_01d93510-c6b6-4c24-93ee-115529d0a432,md-5,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,53.465,26.094,3.810,23.561,7,17,19915,315,5529,,provider-managed,0.0223579,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:35:38.759Z
md-5_cu-openai_451d6822-6cde-4d51-b0bc-cd084b724601,md-5,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,51.866,26.887,3.778,21.201,7,17,19893,302,5527,,provider-managed,0.022257700000000002,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:36:30.976Z
md-5_cu-openai_bc4f151e-0a46-43ea-b7f7-fe1b7a46451d,md-5,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,51.357,27.164,3.875,20.318,7,17,19890,307,5524,,provider-managed,0.022284400000000003,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:37:22.656Z
md-7_cu-openai_4c908a98-10dd-4447-bfe0-603fb38d29da,md-7,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,82.651,32.110,3.826,46.715,12,34,45226,601,5554,,provider-managed,0.049387400000000005,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:38:45.406Z
md-7_cu-openai_79a15daa-8138-4d19-9c65-d3ae51ee0328,md-7,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,81.631,27.047,3.691,50.893,12,36,45078,585,5556,,provider-managed,0.049143599999999996,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:40:07.096Z
md-7_cu-openai_d9700851-6880-4baf-94b0-057c9836442e,md-7,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,76.459,25.566,3.727,47.166,12,36,45075,607,5556,,provider-managed,0.0492726,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:41:23.617Z
md-8_cu-openai_82edce2f-17e7-4b8f-bfdb-f699c5f79a27,md-8,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,98.828,25.359,3.725,69.744,16,62,68611,981,5634,,provider-managed,0.0750604,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:43:02.787Z
md-8_cu-openai_81848900-002e-46a9-be2a-5309ab331f8a,md-8,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,105.990,27.554,3.744,74.692,18,65,79888,1075,5634,,provider-managed,0.08690139999999999,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:44:49.095Z
md-8_cu-openai_47ec1a29-1277-47dc-8c96-a48c88649233,md-8,cu-openai,gpt-5.6-luna,computer,nextjs-starter-medusa,http://127.0.0.1:3218,true,,109.241,27.813,3.907,77.521,18,67,80014,1088,5634,,provider-managed,0.0871054,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:46:38.650Z
ea-1_cu-openai_68c60ea4-f427-4f10-a9cf-4aa260d60b52,ea-1,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,false,"answer predicate failed: {""type"":""answer"",""contains"":[""consultation"",""haircut"",""massage""]}",98.925,26.785,2.643,69.497,18,48,78957,1164,5517,,provider-managed,0.08649269999999999,,,,,,,0,0,true,default,none,none,,,2026-08-16T17:49:19.332Z
ea-1_cu-openai_d7b4aac9-f43d-4d83-9b12-70dfc5d68c95,ea-1,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,false,"answer predicate failed: {""type"":""answer"",""contains"":[""consultation"",""haircut"",""massage""]}",95.454,28.619,2.598,64.237,18,50,78366,1148,5515,,provider-managed,0.0858055,,,,,,,0,0,true,default,none,none,,,2026-08-16T17:50:54.845Z
ea-1_cu-openai_557d7950-5e77-4b40-8190-edef77db91ce,ea-1,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,false,"answer predicate failed: {""type"":""answer"",""contains"":[""consultation"",""haircut"",""massage""]}",98.391,27.006,2.608,68.778,18,47,76361,1319,7645,,provider-managed,0.0850395,,,,,,,0,0,true,default,none,none,,,2026-08-16T17:52:33.290Z
ea-2_cu-openai_5704ef2c-0253-4349-b613-91b3ca546e42,ea-2,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,68.375,27.032,2.603,38.741,12,30,44933,561,5522,,provider-managed,0.0488512,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:53:41.719Z
ea-2_cu-openai_58d3370b-f533-410b-97a1-0958fd213888,ea-2,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,47.068,27.974,2.645,16.449,6,13,15080,301,5531,,provider-managed,0.0174391,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:54:28.842Z
ea-2_cu-openai_a44c015c-8b62-451d-9353-7ac592f06cd1,ea-2,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,53.686,26.671,2.656,24.360,8,21,24824,433,5529,,provider-managed,0.0279749,,,,,,,0,0,false,default,none,none,,,2026-08-16T17:55:22.588Z
ea-3_cu-openai_a38a9e73-fd89-40e2-96e2-1b477851ed5e,ea-3,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,false,"answer predicate failed: {""type"":""answer"",""contains"":[""consultation""]}",99.538,27.055,2.627,69.856,18,54,79237,1391,5512,,provider-managed,0.0881342,,,,,,,0,0,true,default,none,none,,,2026-08-16T17:57:02.176Z
ea-3_cu-openai_ab714332-b84d-49b8-93b3-e845857fe0c1,ea-3,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,false,"answer predicate failed: {""type"":""answer"",""contains"":[""consultation""]}",92.565,28.418,2.690,61.457,18,52,78783,1179,5510,,provider-managed,0.086408,,,,,,,0,0,true,default,none,none,,,2026-08-16T17:58:34.790Z
ea-3_cu-openai_6fb9b1b5-7f36-4651-8fc7-abe734b1f70b,ea-3,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,false,"answer predicate failed: {""type"":""answer"",""contains"":[""consultation""]}",110.988,27.145,2.629,81.214,18,55,79760,1623,5517,,provider-managed,0.0900497,,,,,,,0,0,true,default,none,none,,,2026-08-16T18:00:25.833Z
ea-4_cu-openai_6892295c-690c-4249-9c4e-3ad9285893c3,ea-4,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,49.001,28.321,2.600,18.080,6,13,15104,327,5520,,provider-managed,0.017618,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:01:14.905Z
ea-4_cu-openai_a8069d9e-7e20-416e-bbac-fdfda683d655,ea-4,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,55.052,26.791,2.634,25.626,6,11,15094,302,5518,,provider-managed,0.0174578,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:02:10.022Z
ea-4_cu-openai_27cba913-78e7-459d-82bf-8919b46433ec,ea-4,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,52.751,26.620,2.628,23.503,7,15,19828,276,5519,,provider-managed,0.0220359,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:03:02.839Z
ea-5_cu-openai_87cde532-2570-46c9-b5a9-878b2bf0e670,ea-5,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,110.655,26.917,2.626,81.111,20,53,92752,1714,5545,,provider-managed,0.1035905,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:04:53.551Z
ea-5_cu-openai_39d26d4d-0583-4419-acd1-f30b9c38bc11,ea-5,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,109.803,27.910,2.613,79.280,20,58,91339,1698,5542,,provider-managed,0.1020812,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:06:43.414Z
ea-5_cu-openai_3f9c5711-5f7d-4498-9f93-c0a16b8421d7,ea-5,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,95.954,28.607,3.427,63.920,17,43,72748,978,5540,,provider-managed,0.07917,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:08:19.445Z
ea-6_cu-openai_645ceac1-bea6-4960-ab19-c802f2160a88,ea-6,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,70.602,28.241,2.594,39.767,9,38,30818,659,5570,,provider-managed,0.035329,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:09:30.455Z
ea-6_cu-openai_a086f3b1-4b5a-4da4-b4b2-e66a1604f112,ea-6,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,126.021,27.390,2.613,96.017,17,101,77506,1807,5570,,provider-managed,0.088905,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:11:36.884Z
ea-6_cu-openai_721712e1-a75a-479b-a031-84ff5c3e4c77,ea-6,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,67.404,28.321,2.602,36.481,9,29,30187,556,5568,,provider-managed,0.0340798,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:12:44.692Z
ea-7_cu-openai_caaf0420-82ee-498a-b106-4c2d8a962f5b,ea-7,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,215.553,27.722,2.592,185.239,35,126,203749,3548,5587,,provider-managed,0.2255957,,,,,,,0,0,true,default,none,none,,,2026-08-16T18:16:20.592Z
ea-7_cu-openai_e5ad1903-1426-40c2-bc2e-95355e2cb4a7,ea-7,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,215.811,28.533,3.513,183.765,34,136,196478,3386,5582,,provider-managed,0.21735220000000002,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:19:56.725Z
ea-7_cu-openai_48d1d057-3d4f-4fcc-a2cb-2f4aef8d6f90,ea-7,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,214.173,26.764,2.604,184.805,35,122,200121,3047,5584,,provider-managed,0.2189614,,,,,,,0,0,true,default,none,none,,,2026-08-16T18:23:31.230Z
ea-8_cu-openai_0580e285-bc29-4653-a83f-ca9b513c3ef8,ea-8,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,55.996,28.660,2.642,24.695,6,21,15294,310,5585,,provider-managed,0.0177125,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:24:27.290Z
ea-8_cu-openai_d6b0fb48-863f-4dd7-bace-2ea300052e06,ea-8,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,54.341,28.704,2.604,23.033,6,21,15306,330,5601,,provider-managed,0.0178461,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:25:21.686Z
ea-8_cu-openai_d03c2f90-91a0-484f-9248-9761ddd5cd90,ea-8,cu-openai,gpt-5.6-luna,computer,easyappointments,http://127.0.0.1:3219,true,,54.225,28.564,2.588,23.074,6,21,15288,310,5588,,provider-managed,0.017706799999999998,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:26:15.969Z
lh-1_cu-openai_a82ebde5-58ba-47c2-9fe7-2fe767d00ce2,lh-1,cu-openai,gpt-5.6-luna,computer,learnhouse,http://127.0.0.1:3220,true,,50.591,24.779,4.418,21.394,6,14,15455,384,5591,,provider-managed,0.018318099999999997,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:30:45.981Z
lh-1_cu-openai_2230712a-2a15-4533-82fb-78d108182319,lh-1,cu-openai,gpt-5.6-luna,computer,learnhouse,http://127.0.0.1:3220,true,,38.323,23.280,3.068,11.975,4,8,3514,319,7705,,provider-managed,0.0061985,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:31:24.378Z
lh-1_cu-openai_1c9faeaf-1e13-4c99-adfc-607a71be8524,lh-1,cu-openai,gpt-5.6-luna,computer,learnhouse,http://127.0.0.1:3220,true,,38.076,22.535,3.021,12.520,4,7,5700,379,5549,,provider-managed,0.008528899999999999,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:32:02.505Z
lh-2_cu-openai_20fbf7e9-aad0-4519-8782-ff476f0ebab4,lh-2,cu-openai,gpt-5.6-luna,computer,learnhouse,http://127.0.0.1:3220,true,,108.561,23.477,3.015,82.069,16,66,72987,1712,5518,,provider-managed,0.0838108,,,,,,,0,0,false,default,none,none,,,2026-08-16T18:33:51.113Z
